f4d_1;summer_2022LT;220000;876.1232884902839;12656;3.8;2.2;6;24;usa;fighter;air
uav_quadcopter;9270GE;340000;270.27;6206;6.28;2.32;7;29;usa;fighter;air
ucav_mq_1_predator;9270GE;340000;270.27;6124;6.09;2.32;7;29;usa;assault;air
ucav_orion;9270GE;340000;270.27;6124;6.09;2.32;7;29;ussr;assault;air
ucav_wing_loong_i;9270GE;340000;270.27;6124;6.09;2.32;7;29;china;assault;air
ucav_recon_micro;9270GE;340000;270.27;6206;6.28;2.32;7;29;usa;fighter;air
ucav_recon_micro_flir;9270GE;340000;270.27;6206;6.28;2.32;7;29;usa;fighter;air
ucav_mq_1_predator_usa_killstreak;930000SL;340000;270.27;6124;6.09;2.32;7;29;usa;assault;air
ucav_mq_1_predator_uk_killstreak;930000SL;340000;270.27;6124;6.09;2.32;7;29;britain;assault;air
ucav_mq_1_predator_sweden_killstreak;930000SL;340000;270.27;6124;6.09;2.32;7;29;sweden;assault;air
ucav_mq_1_predator_france_killstreak;930000SL;340000;270.27;6124;6.09;2.32;7;29;france;assault;air
ucav_mq_1_predator_japan_killstreak;930000SL;340000;270.27;6124;6.09;2.32;7;29;japan;assault;air
ucav_mq_1_predator_germany_killstreak;930000SL;340000;270.27;6124;6.09;2.32;7;29;germany;assault;air
ucav_mq_1_predator_iaf_killstreak;930000SL;340000;270.27;6124;6.09;2.32;7;29;israel;assault;air
ucav_mq_1_predator_italy_killstreak;930000SL;340000;270.27;6124;6.09;2.32;7;29;italy;assault;air
ucav_orion_killstreak;930000SL;340000;270.27;6124;6.09;2.32;7;29;ussr;assault;air
ucav_wing_loong_i_killstreak;930000SL;340000;270.27;6124;6.09;2.32;7;29;china;assault;air
a_10a_early;9090GL;270000;270.27;6280;6.05;2.26;6;27;usa;assault;air
a_10a_late;930000SL;340000;714.884574059862;12410;3.09;2.32;7;28;usa;assault;air
jaguar_gr1a;930000SL;340000;395.8432751297782;12410;3.09;2.32;7;28;britain;assault;air
f2g-1;battlepass_season1LT;82000;148.77;5213;4.92;1.84;4;15;usa;fighter;air
bi;craft_2020_autumnLT;95000;681.6699627097576;11774;2.83;1.9;5;17;ussr;fighter;air
p-59a;summer_2019LT;54000;81.27;3702;4.22;1.66;4;13;usa;fighter;air
mig-15bis_ish;8560GL;150000;216.27;5899;7.6;2.08;5;22;ussr;fighter;air
f-100d;590000SL;220000;878.1368709231075;13673;3.8;2.2;6;25;usa;fighter;air
f-100d_france;740000SL;270000;902.4612433287213;13673;3.8;2.26;6;25;france;fighter;air
f-100a_china;590000SL;220000;878.1368709231075;13673;3.8;2.2;6;25;china;fighter;air
f-4c;740000SL;270000;904.5976227484684;14780;3.67;2.26;6;27;usa;fighter;air
f-5a;craft_2021_autumnLT;340000;926.5663133778263;13566;3.42;2.32;6;28;usa;fighter;air
f-5a_china;1060000SL;390000;389.6977632439503;12398;3.22;2.38;7;29;china;fighter;air
f-5e_aidc;1080000SL;400000;422.590884086444;12638;3.3;2.44;7;29;china;fighter;air
f-5c;9270GL;340000;283.77;6698;6.84;2.32;6;28;usa;fighter;air
f-5e;930000SL;340000;372.8913079977312;12158;3.14;2.32;7;29;usa;fighter;air
f-104a;500000SL;180000;837.373566792599;13673;3.8;2.14;6;25;usa;fighter;air
f-104c;590000SL;220000;861.2148919887629;13673;3.8;2.2;6;25;usa;fighter;air
f-104g;930000SL;340000;365.3481027009003;12158;3.14;2.32;7;29;germany;fighter;air
f-104a_china;740000SL;270000;885.0562171849268;13673;3.8;2.26;6;25;china;fighter;air
f-104g_china;930000SL;340000;365.3481027009003;12158;3.14;2.32;7;29;china;fighter;air
f-104g_italy;590000SL;220000;316.71225522041766;11649;2.97;2.2;6;29;italy;fighter;air
f-104j;590000SL;220000;310.41041955656624;11649;2.97;2.2;6;29;japan;fighter;air
f-104s;930000SL;340000;365.36512844685365;11468;3.04;2.32;7;30;italy;fighter;air
f-104s_cb;9270GL;340000;270.27;5812;6.08;2.32;7;30;italy;fighter;air
f-104s_asa;1060000SL;390000;684.4163900414939;11720;3.08;2.38;7;31;italy;fighter;air
lightning_f6;740000SL;270000;369.5136303276933;13673;3.8;2.26;6;25;britain;fighter;air
lightning_f53;9090GL;270000;243.27;5378;7.6;2.26;6;25;britain;fighter;air
jaguar_gr1;590000SL;220000;343.1504164716893;12516;3.05;2.2;6;26;britain;assault;air
f-4e;930000SL;340000;365.36512844685365;11468;3.04;2.32;7;30;usa;fighter;air
f-4j;1060000SL;390000;389.6666897267382;11720;3.08;2.38;7;31;usa;fighter;air
f-4s;9450GL;390000;283.77;5979;6.16;2.38;7;31;usa;fighter;air
f-4ej;930000SL;340000;365.36512844685365;11468;3.04;2.32;7;30;japan;fighter;air
f-4ej_adtw;9270GL;340000;270.27;5812;6.08;2.32;7;30;japan;fighter;air
f-4ej_kai;1100000SL;410000;438.31857455181466;12362;3.16;2.5;8;32;japan;fighter;air
f-4m_fgr2;930000SL;340000;365.3264156272064;11483;3.0;2.32;7;31;britain;fighter;air
f-4jk;9450GL;390000;283.77;5979;6.16;2.38;7;31;britain;fighter;air
f-4k;930000SL;340000;365.3264156272064;11483;3.0;2.32;7;31;britain;fighter;air
f-4f;craft_2021_springLT;340000;926.5663133778263;13566;3.42;2.32;7;28;germany;fighter;air
f-4f_late;1060000SL;390000;389.6977632439503;12398;3.22;2.38;7;29;germany;fighter;air
f_14a_early;1100000SL;410000;472.12272695160726;12362;3.16;2.5;8;32;usa;fighter;air
f_14b;1120000SL;420000;880.6816144161936;12779;3.19;2.56;8;33;usa;fighter;air
f_16a_block_10;1120000SL;420000;515.617965822039;12779;3.19;2.56;8;33;usa;fighter;air
f_16a_block_15_adf;1100000SL;410000;488.5041842792686;12684;3.16;2.5;8;33;usa;fighter;air
f_16a_block_15_adf_italy;1100000SL;410000;488.5041842792686;12684;3.16;2.5;8;33;italy;fighter;air
f_16a_block_10_iaf;1100000SL;410000;488.5041842792686;12684;3.16;2.5;8;33;israel;fighter;air
f_16a_block_20_mlu;1100000SL;410000;488.5041842792686;12684;3.16;2.5;8;33;china;fighter;air
f_16aj;1100000SL;410000;488.5041842792686;12684;3.16;2.5;8;33;japan;fighter;air
fiat_g91_r3;370000SL;130000;245.06133689839572;12196;3.8;2.02;5;23;germany;fighter;air
ju-388j;craft_2019_springLT;63000;121.77000000000001;5183;5.1;1.72;4;10;germany;fighter;air
i_180;craft_2019_springLT;11000;5.819999999999999;1745;2.41;1.24;2;6;ussr;fighter;air
fj_4b;590000SL;220000;316.73287512759447;11916;3.4;2.2;6;23;usa;assault;air
f11f_1_late;summer_2020LT;340000;924.769028400598;12656;3.8;2.32;6;24;usa;fighter;air
f3h-2;590000SL;220000;878.1368709231075;13673;3.8;2.2;6;25;usa;fighter;air
av_8a;8910GL;220000;256.77;6317;6.1;2.2;6;26;usa;assault;air
av_8c;740000SL;270000;369.5085340674467;12765;3.13;2.26;6;26;usa;assault;air
a_6e_tram;9270GL;340000;283.77;6439;6.23;2.32;7;27;usa;assault;air
a_7d;1060000SL;390000;397.7520183086312;12657;3.17;2.38;7;28;usa;assault;air
a_7e;1080000SL;400000;422.5760079443893;12501;3.2;2.44;7;29;usa;assault;air
a_7k;craft_2023_springLT;400000;418.5067991220978;11826;3.26;2.44;7;30;usa;assault;air
f8u-2;740000SL;270000;1013.7940154241644;14780;3.67;2.26;6;27;usa;fighter;air
f-8e;930000SL;340000;410.90116065426844;13566;3.42;2.32;7;28;usa;fighter;air
f-8e_fn;930000SL;340000;926.5663133778263;13566;3.42;2.32;7;28;france;fighter;air
a_4b;500000SL;180000;292.36145833333336;11675;3.31;2.14;6;23;usa;assault;air
a_4e_early;500000SL;400000;292.36145833333336;11675;3.31;2.14;6;23;usa;assault;air
a_4e_early_iaf;590000SL;220000;318.4303033067275;11916;3.4;2.2;6;23;israel;assault;air
f-4e_iaf;930000SL;340000;365.36512844685365;11468;3.04;2.32;7;30;israel;fighter;air
f-4e_kurnass_2000;1100000SL;410000;438.3262912272829;12046;3.19;2.5;8;31;israel;fighter;air
b_48_firecrest;55000SL;150000;7.125030549898167;1234;1.16;1.3;2;4;britain;assault;air
dh_110_sea_vixen;8560GE;150000;202.76999999999998;5511;7.6;2.08;5;23;britain;fighter;air
sea_hawk_fga6;370000SL;130000;262.56034083460787;13326;3.76;2.02;5;21;britain;fighter;air
sea_hawk_mk100;8560GL;150000;229.77;6517;7.6;2.08;5;21;germany;fighter;air
ju-288c;4880GE;63000;162.27;7127;4.5;1.72;4;15;germany;bomber;air
ju-188a-2;200000SL;63000;370.6558379189595;10278;2.35;1.72;4;13;germany;bomber;air
mb_175t;77000SL;18000;17.007142857142856;2381;1.54;1.36;3;7;france;bomber;air
fj_4b_agm_12b;summer_2018_good_oldLT;340000;365.361663048198;12449;3.6;2.32;6;23;usa;assault;air
f4u-6_au-1;craft_2020_springLT;63000;81.27;2653;3.68;1.72;4;14;usa;assault;air
f4u-7;210000SL;71000;309.1654242928453;9514;2.38;1.78;4;15;france;fighter;air
leo_451_late;55000SL;14000;12.74088785046729;2190;1.42;1.3;2;6;france;bomber;air
f-84g_france;310000SL;110000;410.1339368770764;9671;2.84;1.96;5;20;france;assault;air
bf-109z;2980GL;46000;81.27;4691;4.5;1.6;4;11;germany;fighter;air
p-40f-5_france_ep;850GE;9200;1.33;573;1.51;1.18;2;5;france;fighter;air
p-40f_10;22000SL;9200;3.5920916334661355;1261;0.75;1.18;2;5;usa;fighter;air
a-20g;38000SL;11000;4.72761408083442;1048;0.84;1.24;2;6;usa;assault;air
arado-196a-3;summer_2020LT;4000;0.3;193;0.9;1.0;1;1;germany;bomber;air
arado-196a-5;400GE;4000;0.3;193;0.9;1.0;1;1;sweden;bomber;air
arado-234;270000SL;95000;698.7153870358716;13835;2.23;1.9;5;16;germany;bomber;air
b-17g;170000SL;46000;171.9198;7347;1.99;1.6;4;13;usa;bomber;air
p_108b_serie1;150000SL;40000;73.8680745341615;3938;2.16;1.54;3;7;italy;bomber;air
re_2000_int;10000SL;7900;1.3859004392386531;919;0.59;1.12;2;4;italy;fighter;air
re_2000_ga;22000SL;9200;2.853147751605996;1257;0.76;1.18;2;4;italy;fighter;air
re_2000_ga_ep;850GE;9200;28.21;3460;2.87;1.18;2;4;italy;fighter;air
re_2001_serie1;38000SL;11000;5.706818181818182;1674;0.99;1.24;2;6;italy;fighter;air
re_2001_serie1_ep;850GE;9200;14.71;2671;2.37;1.18;2;6;italy;fighter;air
re_2001_cb;55000SL;14000;10.529274783765802;2042;1.18;1.3;2;6;italy;fighter;air
re_2001_cn;110000SL;26000;29.607648839556006;2708;1.51;1.42;3;7;italy;fighter;air
re_2005_serie0;200000SL;63000;275.62714034057547;8678;2.27;1.72;4;14;italy;fighter;air
re_2002_early;22000SL;9200;2.880908108108108;1257;0.76;1.18;2;4;italy;fighter;air
f-86k_late;500000SL;180000;851.800418535127;12656;3.8;2.14;6;24;france;fighter;air
f-86k_late_italy;500000SL;180000;851.800418535127;12656;3.8;2.14;6;24;italy;fighter;air
f-86k_late_german;740000SL;270000;900.446158445441;12656;3.8;2.26;6;24;germany;fighter;air
me_264;110000SL;26000;40.10892264217591;3607;1.76;1.42;3;12;germany;bomber;air
p_108b_serie2;180000SL;54000;196.17628698824484;6705;2.53;1.66;4;8;italy;bomber;air
bf-109e-1;6300SL;5900;0.8506227106227108;683;0.43;1.06;1;4;germany;fighter;air
bf-109e-3;10000SL;7900;1.749268965517241;919;0.59;1.12;2;4;germany;fighter;air
bf-109f-4;77000SL;18000;21.526566701137536;2487;1.3;1.36;3;9;germany;fighter;air
bf-109f-4_trop;110000SL;26000;34.18632478632478;2857;1.47;1.42;3;9;germany;fighter;air
bf-109f-4_hungary;battlepass_season10LT;33000;40.77;3022;3.84;1.48;3;9;italy;fighter;air
