fokker_d7;Fokker D.VII;700SL;2900;0.44344370860927146;186;0.23;1.0;1;0;0;germany;fighter;air
zeppelin;Zeppelin;700SL;2900;0.4452631578947368;188;0.3;1.0;1;0;0;germany;bomber;air
spad_13;SPAD S.XIII;700SL;2900;0.44344370860927146;186;0.23;1.0;1;0;0;britain;fighter;air
hp_12;H.P.12;700SL;2900;0.4452631578947368;188;0.3;1.0;1;0;0;britain;bomber;air
f4d_1;F4D-1;summer_2022LT;190000;876.1232884902839;12656;3.8;2.2;6;25;24;usa;fighter;air
uav_quadcopter;UAV Raven's Eye;9270GE;260000;270.27;6206;6.28;2.32;7;29;29;usa;fighter;air
ucav_mq_1_predator;MQ-1;9270GE;260000;270.27;6124;6.09;2.32;7;29;29;usa;assault;air
ucav_orion;Orion;9270GE;260000;270.27;6124;6.09;2.32;7;29;29;ussr;assault;air
ucav_wing_loong_i;Wing Loong I;9270GE;260000;270.27;6124;6.09;2.32;7;29;29;china;assault;air
ucav_recon_micro;Recon Micro;9270GE;260000;270.27;6206;6.28;2.32;7;29;29;usa;fighter;air
ucav_recon_micro_flir;Recon Micro;9270GE;260000;270.27;6206;6.28;2.32;7;29;29;usa;fighter;air
a_10a_early;A-10A;9090GL;220000;270.27;6280;6.05;2.26;6;27;28;usa;assault;air
a_10a_late;A-10A Late;710000SL;260000;395.8432751297782;12410;3.09;2.32;7;28;29;usa;assault;air
a_10c;A-10C;950000SL;350000;716.9744560964157;11055;3.4;2.44;7;32;32;usa;assault;air
jaguar_is;Jaguar IS;2024_02_airLT;300000;388.1048549547459;11599;3.18;2.38;7;30;31;britain;assault;air
marut_mk1;HF-24 (Great Britain);2025_05_airLT;120000;474.91267373056286;10640;3.06;2.02;5;23;24;britain;assault;air
jaguar_gr1a;Jaguar GR.1A;830000SL;300000;417.9288354517348;12657;3.17;2.38;7;28;29;britain;assault;air
f2g-1;F2G-1;battlepass_season1LT;71000;135.27;5370;4.92;1.84;4;13;15;usa;fighter;air
bi;BI;craft_2020_autumnLT;95000;681.6699627097576;11774;2.83;1.9;5;17;17;ussr;fighter;air
p-59a;P-59A;summer_2019LT;54000;81.27;3702;4.22;1.66;4;13;14;usa;fighter;air
mig-15bis_ish;MiG-15bis ISh;8560GE;120000;216.27;6331;7.6;2.08;5;23;21;ussr;fighter;air
f-100d;F-100D;520000SL;190000;878.1368709231075;13673;3.8;2.2;6;25;25;usa;fighter;air
f-100d_france;F-100D (France);620000SL;220000;902.4612433287213;13673;3.8;2.26;6;26;25;france;fighter;air
f-100a_china;F-100A (China);520000SL;190000;878.1368709231075;13673;3.8;2.2;6;26;25;china;fighter;air
f_100f_china;F-100F (China);craft_2023_autumnLT;190000;878.1368709231075;13673;3.8;2.2;6;25;25;china;fighter;air
f-4c;F-4C Phantom II;710000SL;260000;929.5099901477834;15088;3.77;2.32;7;29;27;usa;fighter;air
